,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,Class
0,65,22,216,0.7491749174917491,0.0,0.6254545454545455,0.09243697478991596,2,10,204,0,7,15,5,60,50,155,47,26,0.17985611510791366,0.5575539568345323,0.16906474820143885,0.09352517985611512,278,2522.25,50.22200712834962,21.0,5.0,95.0,34.0,26.0,21.0,20.0,6.0,1.335483870967742,0.851063829787234,1.0384615384615383,0.64,1043,141,0.13518696069031638,0.11908783783783786,224,44,28,19,728,100,11,3,2,25,645,148,204,0.009259259259259259,0.04629629629629629,0.9444444444444444,0.0,0.3181818181818182,0.6818181818181818,0.9230769230769232,0.8076923076923077,0.19230769230769232,0.44680851063829785,0.425531914893617,0.1276595744680851,0.6129032258064516,0.21935483870967745,0.16774193548387098,0.21476510067114093,0.04218600191754554,0.026845637583892617,0.01821668264621285,0.6979865771812079,0.7092198581560284,0.07801418439716312,0.02127659574468085,0.014184397163120569,0.1773049645390071,0.6469408224674023,0.14844533600802404,0.2046138415245737,728,37,27,26,199,13,103,0,3.6857,0.79,18,20,2,9,3,0,0,3,0,7,1,1,4,1,738,2712,1974,0.373860182370821,808,2642,1834,0.440567066521265,4,5,4,9,4,2,6,4,4,4,2,4,4,4,4,2,2,4,2,2,2,3,4,4,4,4,4,3,2,4,4,9,4,4,2,2,3,2,1.0
1,49,19,399,0.5331905781584583,0.044967880085653104,0.5306666666666666,0.045454545454545456,2,30,367,0,12,7,15,34,94,165,52,32,0.2740524781341108,0.4810495626822158,0.15160349854227406,0.09329446064139944,343,2594.1875,50.933166993620176,22.0,10.0,89.0,39.0,37.0,8.0,30.0,14.0,1.715151515151515,0.9423076923076924,1.46875,0.5744680851063829,1088,187,0.171875,0.14666666666666667,414,75,50,52,497,153,10,3,2,19,480,197,383,0.005012531328320804,0.07518796992481203,0.9197994987468672,0.0,0.631578947368421,0.3684210526315789,0.6938775510204082,0.6875,0.3125,0.15384615384615385,0.5769230769230769,0.2692307692307692,0.5393939393939394,0.2363636363636364,0.22424242424242424,0.3805147058823529,0.06893382352941177,0.04595588235294118,0.04779411764705882,0.4568014705882353,0.8181818181818182,0.053475935828877004,0.016042780748663103,0.0106951871657754,0.10160427807486633,0.4528301886792453,0.1858490566037736,0.3613207547169811,497,51,21,28,372,9,137,0,4.2491,0.91,21,14,0,13,1,0,0,1,0,4,0,1,3,0,1074,3985,2911,0.36894537959464097,1168,3891,2723,0.4289386705839149,7,4,5,8,3,5,2,9,6,3,4,6,5,6,3,4,3,5,2,3,4,4,8,5,3,5,8,4,4,8,2,7,8,2,3,4,1,4,1.0
2,59,34,154,0.7854251012145749,0.044534412955465584,0.6699029126213593,0.18085106382978725,0,14,140,3,8,23,8,51,15,24,38,30,0.14018691588785046,0.22429906542056074,0.35514018691588783,0.2803738317757009,107,70.6875,8.407585860400118,25.0,5.0,3.0,7.0,14.0,10.0,9.0,19.0,2.208333333333333,1.5263157894736843,1.2333333333333334,0.8,235,95,0.40425531914893614,0.2878787878787879,73,19,12,11,120,77,1,2,4,11,111,39,83,0.0,0.09090909090909093,0.9090909090909092,0.08823529411764706,0.2352941176470588,0.6764705882352942,0.8644067796610171,0.8333333333333334,0.16666666666666666,0.2631578947368421,0.2368421052631579,0.5,0.125,0.2916666666666667,0.5833333333333334,0.31063829787234043,0.08085106382978724,0.05106382978723404,0.04680851063829787,0.5106382978723404,0.8105263157894737,0.010526315789473684,0.021052631578947368,0.042105263157894736,0.11578947368421053,0.4763948497854078,0.16738197424892706,0.3562231759656652,123,25,11,18,156,10,89,0,3.3160000000000003,0.76,8,17,0,2,0,0,0,0,0,4,0,1,2,1,162,986,824,0.19660194174757287,414,734,320,1.29375,4,3,3,3,2,3,3,4,4,6,3,3,4,3,11,2,2,3,2,3,2,2,3,3,9,3,4,3,2,3,4,3,3,9,4,2,2,4,0.0
3,56,73,19,1.0,0.0,0.4375,0.7934782608695652,0,1,18,0,46,27,9,47,44,121,35,12,0.2075471698113208,0.5707547169811321,0.1650943396226415,0.05660377358490566,212,1677.5,40.95729483254479,7.0,5.0,68.0,40.0,13.0,18.0,13.0,4.0,1.4132231404958675,0.6,3.75,0.4772727272727273,1102,193,0.1751361161524501,0.14903474903474906,199,29,20,23,831,145,17,3,2,26,732,132,176,0.0,0.05263157894736842,0.9473684210526316,0.0,0.6301369863013698,0.3698630136986301,0.8392857142857143,0.5833333333333334,0.4166666666666667,0.5142857142857142,0.3714285714285713,0.11428571428571427,0.5619834710743802,0.3305785123966942,0.10743801652892562,0.18058076225045366,0.02631578947368421,0.01814882032667877,0.020871143375680586,0.7540834845735027,0.7512953367875648,0.08808290155440414,0.015544041450777204,0.010362694300518135,0.13471502590673576,0.7038461538461539,0.12692307692307692,0.16923076923076924,831,27,26,20,63,15,48,1,1.7519,0.89,12,11,0,0,2,1,0,1,0,5,2,0,3,0,868,2656,1788,0.4854586129753921,782,2742,1960,0.39897959183673504,2,2,1,2,2,1,2,2,3,1,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1.0
4,69,48,172,0.8442906574394463,0.010380622837370242,0.5095785440613027,0.2181818181818181,1,14,157,4,20,24,7,62,41,38,47,17,0.2867132867132867,0.2657342657342657,0.32867132867132864,0.11888111888111888,143,127.6875,11.299889379989526,16.0,1.0,15.0,7.0,16.0,15.0,18.0,14.0,0.7631578947368421,0.9148936170212766,1.5294117647058822,0.7804878048780488,319,112,0.3510971786833856,0.25986078886310904,147,26,11,14,121,85,5,4,4,14,110,69,130,0.005813953488372093,0.08139534883720931,0.9127906976744186,0.08333333333333333,0.4166666666666667,0.5,0.8985507246376812,0.9411764705882352,0.05882352941176471,0.3191489361702128,0.3829787234042553,0.2978723404255319,0.3947368421052632,0.18421052631578946,0.42105263157894735,0.4608150470219436,0.08150470219435736,0.03448275862068965,0.0438871473354232,0.3793103448275862,0.7589285714285714,0.04464285714285714,0.03571428571428571,0.03571428571428571,0.125,0.3559870550161812,0.2233009708737864,0.4207119741100324,125,29,15,21,209,14,141,0,2.7298,0.89,10,14,0,14,1,0,0,1,0,9,1,7,1,0,348,1406,1058,0.328922495274102,543,1211,668,0.812874251497006,4,4,2,3,2,2,3,4,4,5,5,3,4,3,5,2,2,3,2,3,1,3,3,2,2,2,3,2,2,2,3,3,3,2,2,2,2,6,1.0
5,70,32,263,0.7369863013698629,0.0027397260273972607,0.5366568914956011,0.10847457627118644,1,24,238,0,16,16,15,55,38,113,43,10,0.1862745098039216,0.553921568627451,0.2107843137254902,0.04901960784313725,204,1439.5,37.94074327158075,6.0,4.0,54.0,29.0,30.0,14.0,20.0,9.0,1.4867256637168142,2.744186046511628,4.1,0.7894736842105263,687,202,0.2940320232896652,0.22722159730033745,361,90,36,29,171,172,7,5,4,14,167,149,352,0.0038022813688212928,0.09125475285171104,0.9049429657794676,0.0,0.5,0.5,0.7857142857142857,0.6,0.4,0.32558139534883723,0.4651162790697674,0.20930232558139536,0.4778761061946903,0.2566371681415929,0.26548672566371684,0.5254730713245997,0.13100436681222707,0.052401746724890834,0.04221251819505095,0.24890829694323144,0.8514851485148515,0.034653465346534656,0.02475247524752476,0.0198019801980198,0.06930693069306931,0.25,0.22305389221556887,0.5269461077844312,171,39,15,23,250,9,101,0,3.0225,0.89,13,12,0,10,1,0,1,0,0,8,3,2,3,0,607,2458,1851,0.32793084819016804,904,2161,1257,0.7191726332537791,4,2,2,6,2,2,3,5,4,4,5,5,8,5,1,2,2,5,2,2,2,4,4,2,6,2,3,2,2,2,3,6,4,5,2,2,1,2,
6,88,68,59,0.9906976744186048,0.0,0.4682926829268293,0.5354330708661418,1,16,42,1,50,17,14,74,230,43,43,300,0.37337662337662336,0.0698051948051948,0.0698051948051948,0.4870129870129871,616,12933.5,113.72554682216305,21.0,279.0,18.0,18.0,7.0,18.0,21.0,4.0,1.2325581395348837,0.9302325581395348,1.4,0.8086956521739129,550,96,0.17454545454545456,0.14860681114551086,76,17,12,15,430,72,1,3,4,16,369,91,75,0.01694915254237288,0.2711864406779661,0.7118644067796609,0.014705882352941175,0.7352941176470589,0.25,0.8409090909090909,0.07,0.93,0.4186046511627907,0.4883720930232558,0.09302325581395347,0.4186046511627907,0.4186046511627907,0.16279069767441862,0.13818181818181818,0.030909090909090917,0.02181818181818182,0.027272727272727268,0.7818181818181819,0.75,0.010416666666666666,0.03125,0.041666666666666664,0.16666666666666666,0.6897196261682244,0.17009345794392525,0.14018691588785046,431,33,17,23,123,16,83,0,1.7938,0.92,24,21,1,1,7,1,1,0,5,16,9,0,1,6,395,1373,978,0.403885480572597,465,1303,838,0.5548926014319809,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,3,2,1.0
7,108,30,140,0.9712230215827338,0.0,0.532608695652174,0.17647058823529413,0,18,122,0,22,8,8,100,64,39,14,78,0.3282051282051282,0.2,0.07179487179487179,0.4,195,597.6875,24.44764814864612,57.0,21.0,18.0,11.0,10.0,3.0,4.0,7.0,1.2820512820512822,0.5714285714285714,2.025641025641025,0.703125,440,108,0.24545454545454545,0.19708029197080293,91,16,15,10,308,76,8,0,3,21,277,62,90,0.0,0.12857142857142856,0.8714285714285714,0.0,0.7333333333333333,0.26666666666666666,0.9259259259259259,0.7307692307692307,0.2692307692307692,0.21428571428571427,0.2857142857142857,0.5,0.4615384615384616,0.28205128205128205,0.2564102564102564,0.20681818181818185,0.03636363636363636,0.03409090909090909,0.022727272727272728,0.7,0.7037037037037037,0.07407407407407407,0.0,0.027777777777777776,0.19444444444444445,0.6456876456876457,0.1445221445221445,0.2097902097902098,308,39,21,18,151,8,52,0,2.041,0.89,25,10,0,1,2,0,1,1,0,2,0,0,0,2,359,1340,981,0.365953109072375,433,1266,833,0.5198079231692679,2,3,2,4,2,2,2,2,3,2,2,2,2,2,2,1,1,2,1,2,2,2,3,2,3,2,4,2,1,2,2,3,3,3,2,1,1,2,1.0
8,129,109,91,0.9817629179331308,0.0,0.4772727272727273,0.545,0,15,76,0,73,36,16,113,92,198,63,29,0.2408376963350785,0.518324607329843,0.1649214659685864,0.07591623036649214,382,3999.25,63.23962365479415,24.0,5.0,117.0,57.0,24.0,8.0,36.0,19.0,2.313131313131313,2.0793650793650795,1.5862068965517242,0.9456521739130436,1524,205,0.13451443569553806,0.11856564488143435,286,88,28,42,1080,151,12,3,5,34,961,193,285,0.0,0.16483516483516486,0.8351648351648352,0.0,0.6697247706422018,0.3302752293577982,0.875968992248062,0.8275862068965517,0.1724137931034483,0.12698412698412698,0.5714285714285714,0.3015873015873016,0.5909090909090909,0.2878787878787879,0.12121212121212124,0.18766404199475065,0.05774278215223098,0.01837270341207349,0.02755905511811024,0.7086614173228346,0.7365853658536585,0.05853658536585366,0.014634146341463415,0.024390243902439025,0.16585365853658535,0.6678248783877693,0.1341209173036831,0.1980542043085476,1080,49,34,26,191,18,133,0,1.7537,0.95,23,19,0,3,5,0,1,3,1,15,4,0,10,1,799,2815,2016,0.396329365079365,835,2779,1944,0.429526748971193,2,2,1,2,2,2,1,2,2,2,2,4,3,3,3,1,2,2,2,2,1,2,2,2,4,2,1,2,1,2,1,2,2,4,1,1,2,1,1.0
9,151,25,154,0.987878787878788,0.0,0.5138461538461538,0.13966480446927373,0,13,141,1,17,7,7,144,47,31,11,56,0.32413793103448274,0.21379310344827587,0.07586206896551724,0.3862068965517241,145,292.6875,17.108112110925624,45.0,11.0,15.0,0.0,16.0,6.0,2.0,3.0,1.5161290322580645,1.0909090909090908,1.3035714285714286,0.425531914893617,206,226,1.0970873786407769,0.5231481481481481,103,58,11,3,31,194,9,2,6,15,28,39,136,0.0,0.08441558441558443,0.9155844155844156,0.04,0.68,0.28,0.9536423841059604,0.8035714285714286,0.19642857142857145,0.5454545454545454,0.18181818181818185,0.2727272727272727,0.4838709677419355,0.0,0.5161290322580645,0.5,0.2815533980582524,0.05339805825242718,0.014563106796116504,0.15048543689320387,0.8584070796460177,0.03982300884955752,0.008849557522123894,0.02654867256637168,0.06637168141592921,0.13793103448275862,0.1921182266009852,0.6699507389162561,32,28,15,6,175,2,37,0,2.0247,0.88,8,5,0,0,3,1,0,1,1,2,1,0,1,0,174,915,741,0.23481781376518202,415,674,259,1.6023166023166,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,3,2,4,2,2,2,2,2,2,2,3,2,2,2,2,2,0.0
10,75,62,62,0.9597989949748744,0.0,0.453125,0.5,0,12,50,0,52,10,11,64,102,38,34,173,0.29394812680115273,0.10951008645533143,0.09798270893371758,0.4985590778097983,347,3207.6875,56.63645027718457,15.0,158.0,6.0,19.0,13.0,19.0,10.0,5.0,1.2105263157894737,1.1470588235294117,1.369942196531792,0.9019607843137256,627,89,0.1419457735247209,0.12430167597765365,91,32,13,14,477,60,7,5,0,17,408,104,104,0.0,0.1935483870967742,0.8064516129032258,0.0,0.8387096774193549,0.16129032258064516,0.8533333333333334,0.08670520231213873,0.9132947976878611,0.5588235294117647,0.29411764705882354,0.14705882352941174,0.15789473684210525,0.5,0.34210526315789475,0.14513556618819776,0.051036682615629984,0.02073365231259968,0.022328548644338118,0.7607655502392344,0.6741573033707865,0.07865168539325842,0.05617977528089888,0.0,0.19101123595505606,0.6623376623376623,0.16883116883116886,0.16883116883116886,477,29,17,20,107,13,62,0,1.9474,0.9,30,16,0,1,4,3,0,0,1,12,6,1,1,4,398,1579,1181,0.33700254022015197,477,1500,1023,0.4662756598240471,3,4,2,2,2,1,1,2,3,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,6,1,2,2,1,2,2,2,2,6,2,1,1,2,0.0
11,56,18,264,0.6094674556213018,0.08875739644970414,0.4929577464788733,0.06382978723404255,0,29,235,1,8,9,17,39,49,146,99,34,0.14939024390243902,0.4451219512195122,0.3018292682926829,0.10365853658536583,328,1944.5,44.09648512069868,29.0,5.0,76.0,19.0,51.0,43.0,20.0,36.0,1.8698630136986296,1.5151515151515151,1.1176470588235294,0.5918367346938775,526,166,0.3155893536121673,0.2398843930635838,251,88,42,31,114,142,9,0,3,12,123,119,276,0.0,0.10984848484848483,0.8901515151515151,0.05555555555555555,0.4444444444444444,0.5,0.6964285714285714,0.8529411764705882,0.14705882352941174,0.4343434343434344,0.202020202020202,0.3636363636363637,0.5205479452054794,0.13013698630136986,0.3493150684931507,0.4771863117870722,0.16730038022813687,0.07984790874524715,0.058935361216730035,0.21673003802281368,0.8554216867469879,0.05421686746987952,0.0,0.018072289156626502,0.07228915662650602,0.23745173745173745,0.2297297297297297,0.5328185328185329,115,41,12,21,253,8,121,0,3.7794,0.96,11,6,3,9,4,0,0,3,1,9,1,3,5,0,450,2007,1557,0.28901734104046195,923,1534,611,1.51063829787234,4,2,3,5,2,5,4,9,4,8,23,22,5,11,5,3,3,5,5,5,3,3,5,4,6,4,3,4,3,4,3,5,5,6,5,3,3,5,0.0
12,55,28,284,0.7411444141689373,0.03814713896457767,0.4938271604938271,0.08974358974358974,1,37,246,4,5,19,16,39,18,46,57,73,0.09278350515463918,0.2371134020618557,0.29381443298969073,0.3762886597938144,194,402.25,20.05617112013158,70.0,3.0,9.0,6.0,31.0,28.0,11.0,18.0,0.8478260869565217,1.0526315789473684,1.5342465753424657,0.6666666666666666,313,204,0.6517571884984026,0.3945841392649903,144,67,14,17,71,176,10,0,3,15,74,68,164,0.0035211267605633804,0.13028169014084506,0.8661971830985915,0.14285714285714285,0.17857142857142858,0.6785714285714286,0.7090909090909091,0.9589041095890408,0.0410958904109589,0.4912280701754386,0.19298245614035087,0.3157894736842105,0.1956521739130435,0.13043478260869565,0.6739130434782609,0.4600638977635783,0.21405750798722045,0.04472843450479233,0.05431309904153354,0.2268370607028754,0.8627450980392157,0.04901960784313725,0.0,0.014705882352941175,0.07352941176470587,0.24183006535947715,0.2222222222222222,0.5359477124183006,75,53,16,17,250,7,119,0,3.3803,0.83,4,6,0,1,1,0,0,0,1,5,1,0,0,4,266,1209,943,0.28207847295864297,501,974,473,1.05919661733615,3,3,4,4,3,3,2,9,3,5,3,4,11,4,4,2,2,4,4,4,2,2,5,3,3,3,3,3,2,3,4,4,6,3,3,2,4,3,0.0
13,98,121,51,1.0,0.0,0.4326530612244898,0.7034883720930233,1,4,46,2,65,54,10,88,105,125,36,45,0.33762057877813506,0.4019292604501608,0.1157556270096463,0.14469453376205788,311,1447.6875,38.04848880047669,27.0,18.0,52.0,57.0,16.0,16.0,18.0,2.0,2.12,1.0,1.4222222222222225,0.7714285714285715,1229,278,0.22620016273393004,0.18447246184472466,293,98,36,41,761,222,16,5,7,28,665,161,331,0.0196078431372549,0.0784313725490196,0.9019607843137256,0.016528925619834708,0.5371900826446281,0.4462809917355372,0.8979591836734694,0.6,0.4,0.4444444444444444,0.5,0.05555555555555555,0.416,0.456,0.128,0.2384052074857608,0.07973962571196094,0.02929210740439381,0.03336045565500407,0.6192026037428804,0.7985611510791367,0.05755395683453238,0.017985611510791366,0.02517985611510792,0.10071942446043164,0.57476231633535,0.13915298184961106,0.2860847018150389,763,33,29,19,149,15,107,1,1.8158,0.86,23,17,0,0,2,1,0,1,0,11,5,0,4,2,795,2424,1629,0.488029465930018,703,2516,1813,0.38775510204081604,2,1,2,3,2,1,1,2,2,2,2,3,2,3,2,2,1,3,2,1,1,2,2,2,3,2,3,2,1,2,2,3,2,3,2,1,1,2,1.0
14,79,63,61,0.8965517241379308,0.014778325123152709,0.4888888888888889,0.5080645161290323,0,2,59,0,54,9,6,73,34,43,36,44,0.21656050955414013,0.2738853503184713,0.22929936305732485,0.2802547770700637,157,18.6875,4.322904116447647,41.0,3.0,12.0,6.0,25.0,8.0,17.0,11.0,1.6511627906976745,1.8888888888888888,2.4318181818181817,0.7941176470588235,266,234,0.8796992481203008,0.46799999999999997,124,75,12,15,40,207,14,2,1,10,44,43,174,0.0,0.032786885245901634,0.9672131147540984,0.0,0.8571428571428571,0.14285714285714285,0.9240506329113924,0.9318181818181818,0.06818181818181818,0.2222222222222222,0.4722222222222222,0.3055555555555556,0.2790697674418605,0.13953488372093026,0.5813953488372093,0.4661654135338346,0.2819548872180451,0.045112781954887216,0.05639097744360904,0.15037593984962405,0.8846153846153846,0.05982905982905984,0.008547008547008548,0.004273504273504274,0.042735042735042736,0.1685823754789272,0.16475095785440613,0.6666666666666666,40,12,10,10,124,8,73,0,1.889,0.93,6,2,2,9,2,0,0,1,1,6,1,3,2,0,211,899,688,0.306686046511628,380,730,350,1.08571428571429,2,3,2,2,2,1,1,2,2,3,2,7,2,6,3,1,2,26,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1.0
15,35,12,17,0.984375,0.0,0.5873015873015873,0.4137931034482759,0,3,14,0,8,4,4,31,14,8,7,3,0.4375,0.25,0.21875,0.09375,32,15.5,3.9370039370059056,3.0,0.0,3.0,2.0,3.0,1.0,2.0,4.0,1.125,1.8571428571428568,0.6666666666666666,0.8571428571428571,186,180,0.967741935483871,0.4918032786885246,77,65,6,8,30,161,7,1,3,8,22,42,121,0.0,0.17647058823529413,0.8235294117647058,0.0,0.6666666666666666,0.3333333333333333,0.8857142857142857,1.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.375,0.25,0.375,0.4139784946236559,0.3494623655913979,0.03225806451612903,0.04301075268817205,0.16129032258064516,0.8944444444444445,0.03888888888888889,0.005555555555555557,0.016666666666666666,0.04444444444444445,0.11891891891891893,0.22702702702702704,0.6540540540540539,30,11,8,7,23,4,11,0,2.0624,0.88,5,4,0,0,0,0,0,0,0,2,1,1,0,0,142,545,403,0.352357320099256,257,430,173,1.48554913294798,2,2,2,3,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,3,1,2,1,2,1,2,1,3,3,3,2,2,2,2,2,0.0
16,130,58,363,0.8874773139745916,0.0,0.5199240986717267,0.1377672209026128,0,17,346,1,32,25,15,115,112,102,57,171,0.25339366515837103,0.2307692307692308,0.12895927601809956,0.38687782805429866,442,1649.25,40.61095911204264,143.0,28.0,56.0,11.0,35.0,14.0,23.0,20.0,1.6470588235294117,1.2456140350877194,1.263157894736842,0.9910714285714286,404,284,0.7029702970297029,0.4127906976744186,168,78,30,23,105,239,19,4,4,18,88,93,215,0.0,0.04683195592286502,0.9531680440771352,0.017241379310344827,0.5517241379310345,0.4310344827586207,0.8846153846153846,0.8362573099415205,0.16374269005847952,0.2456140350877193,0.4035087719298245,0.3508771929824561,0.5490196078431373,0.10784313725490197,0.3431372549019608,0.4158415841584158,0.19306930693069307,0.07425742574257425,0.056930693069306926,0.2599009900990099,0.8415492957746479,0.06690140845070422,0.014084507042253518,0.014084507042253518,0.06338028169014084,0.2222222222222222,0.2348484848484849,0.5429292929292929,106,35,18,17,403,8,232,0,2.5879,0.83,7,10,1,8,8,2,1,1,4,18,4,3,3,8,382,1467,1085,0.352073732718894,544,1305,761,0.7148488830486199,3,2,3,3,2,2,2,4,3,3,4,3,3,3,3,3,3,3,2,2,2,3,4,3,3,2,3,1,2,3,3,3,4,3,2,1,1,3,1.0
17,89,71,65,0.9688888888888888,0.004444444444444445,0.4736842105263158,0.5220588235294118,0,1,64,1,51,19,9,80,38,39,29,46,0.25,0.2565789473684211,0.19078947368421054,0.3026315789473684,152,36.5,6.041522986797286,43.0,3.0,22.0,11.0,6.0,4.0,15.0,10.0,1.358974358974359,1.4827586206896552,1.5652173913043481,1.0,374,253,0.6764705882352942,0.4035087719298245,159,69,19,18,109,215,10,3,4,21,96,71,187,0.0,0.015384615384615384,0.9846153846153848,0.014084507042253518,0.7183098591549296,0.2676056338028169,0.8988764044943821,0.9347826086956522,0.06521739130434782,0.13793103448275862,0.5172413793103449,0.3448275862068966,0.5641025641025641,0.28205128205128205,0.15384615384615385,0.42513368983957217,0.18449197860962568,0.05080213903743317,0.0481283422459893,0.2914438502673797,0.8498023715415021,0.03952569169960474,0.011857707509881422,0.015810276679841896,0.08300395256916998,0.2711864406779661,0.20056497175141244,0.5282485875706214,110,22,21,20,132,16,82,1,1.6468,0.89,12,9,0,9,1,1,0,0,0,5,0,2,2,1,309,1266,957,0.322884012539185,449,1126,677,0.663220088626292,2,2,1,2,1,1,1,2,2,4,2,2,7,2,3,1,1,2,2,2,1,1,2,2,2,3,2,1,1,2,2,2,2,2,1,1,1,1,
18,40,14,147,0.7711442786069652,0.0049751243781094535,0.4761904761904762,0.08695652173913042,0,9,138,1,7,6,7,33,138,150,57,16,0.3822714681440443,0.4155124653739612,0.15789473684210525,0.0443213296398892,361,3117.1875,55.83177858531822,9.0,7.0,75.0,49.0,26.0,22.0,33.0,2.0,1.6666666666666667,1.7719298245614037,1.0625,0.8260869565217391,1591,158,0.09930861093651792,0.0903373356203545,305,44,24,27,1191,104,13,0,6,35,1070,183,258,0.0,0.061224489795918366,0.9387755102040816,0.07142857142857142,0.5,0.42857142857142855,0.825,0.5625,0.4375,0.3859649122807017,0.5789473684210527,0.03508771929824561,0.5,0.32666666666666666,0.17333333333333334,0.19170333123821487,0.02765556253928347,0.015084852294154618,0.01697045883092395,0.7485857950974231,0.6582278481012658,0.08227848101265822,0.0,0.0379746835443038,0.2215189873417721,0.7081403044341495,0.12111184645929847,0.17074784910655194,1192,44,35,22,126,13,61,0,3.1263,0.94,33,11,0,10,4,2,0,2,0,9,4,1,4,0,982,3336,2354,0.417162276975361,880,3438,2558,0.3440187646598909,4,2,5,3,2,3,3,5,3,3,3,3,5,3,3,2,1,2,2,3,2,4,3,3,5,3,5,3,2,3,4,3,3,4,2,2,2,2,1.0
19,13,7,566,0.25767918088737196,0.054607508532423216,0.5780487804878048,0.012216404886561954,0,55,511,0,3,4,9,4,126,138,68,403,0.17142857142857146,0.1877551020408164,0.09251700680272107,0.5482993197278911,735,16724.1875,129.32203021913938,161.0,242.0,42.0,50.0,46.0,39.0,18.0,11.0,1.5144927536231885,1.3823529411764706,1.5384615384615383,1.4285714285714286,1045,224,0.21435406698564605,0.1765169424743893,239,65,22,21,698,197,8,3,5,11,595,147,256,0.0,0.09717314487632507,0.9028268551236748,0.0,0.42857142857142855,0.5714285714285714,0.3076923076923077,0.3995037220843672,0.6004962779156328,0.5735294117647058,0.2647058823529412,0.16176470588235295,0.3043478260869565,0.3623188405797101,0.3333333333333333,0.22870813397129186,0.062200956937799035,0.021052631578947368,0.020095693779904302,0.6679425837320574,0.8794642857142857,0.03571428571428571,0.013392857142857142,0.02232142857142857,0.049107142857142856,0.5961923847695391,0.14729458917835672,0.2565130260521042,698,66,11,30,441,9,142,0,5.3019,0.56,36,13,0,4,10,3,2,1,4,20,4,2,2,12,804,2382,1578,0.509505703422053,623,2563,1940,0.321134020618557,5,7,4,8,5,4,3,6,7,6,5,5,6,7,7,3,3,7,3,6,5,7,6,6,9,6,8,8,3,5,5,3,6,6,5,3,5,5,1.0
20,118,45,395,0.6989247311827957,0.005376344086021507,0.5225048923679061,0.10227272727272728,0,24,371,0,30,15,27,91,200,148,92,302,0.2695417789757412,0.19946091644204847,0.12398921832884095,0.4070080862533693,742,5982.75,77.34823850612244,69.0,233.0,49.0,54.0,45.0,38.0,36.0,18.0,1.5608108108108107,1.358695652173913,1.6490066225165565,1.215,1541,187,0.12134977287475665,0.1082175925925926,282,74,20,22,1143,145,8,5,2,27,955,263,282,0.0,0.060759493670886074,0.939240506329114,0.0,0.6666666666666666,0.3333333333333333,0.7711864406779662,0.2284768211920529,0.7715231788079471,0.4130434782608696,0.39130434782608703,0.1956521739130435,0.3310810810810811,0.3648648648648649,0.3040540540540541,0.18299805321219986,0.04802076573653472,0.012978585334198572,0.014276443867618432,0.7417261518494485,0.7754010695187166,0.0427807486631016,0.026737967914438502,0.0106951871657754,0.1443850267379679,0.6366666666666667,0.17533333333333334,0.188,1143,51,27,27,441,14,190,0,3.3276,0.77,28,13,0,8,8,0,2,2,4,12,5,1,3,3,961,3463,2502,0.38409272581934495,936,3488,2552,0.366771159874608,6,4,3,4,3,4,1,6,5,5,3,5,2,5,5,3,4,4,3,3,3,5,4,4,6,5,1,2,3,3,3,4,4,3,2,3,2,2,1.0
